sample,grid_size,avg_shannon_index,variance_shannon
AGSCC_1,10,0.00038462955998174413,0.0002664204512369788
AGSCC_1,20,0.023762686431555043,0.01614916130153989
AGSCC_1,30,0.10921848186909758,0.06835320498307217
AGSCC_1,50,0.42703805225949615,0.1852726671677935
AGSCC_1,60,0.5830670092967923,0.20738678397577368
AGSCC_1,70,0.7093784668973354,0.21660534344234267
AGSCC_1,80,0.8073729967937326,0.22436000110982035
AGSCC_1,90,0.8847755171062965,0.22954471898595927
AGSCC_1,100,0.9480442553939699,0.23675783019209945
AGSCC_1,120,1.0439802787451902,0.24766468202704384
AGSCC_1,140,1.1162547798059215,0.256276165927408
AGSCC_1,160,1.1729983295320596,0.2644242844691808
AGSCC_1,180,1.2189324665340782,0.26868210978337226
AGSCC_1,200,1.2560270836514091,0.275121639372297
AGSCC_1,220,1.2893880863630318,0.2779596748865936
AGSCC_1,240,1.316037446936391,0.2780416314334434
AGSCC_1,260,1.3377275427050324,0.28616853240166035
AGSCC_1,280,1.3615391317891707,0.28333482552199063
AGSCC_1,300,1.3787069582712919,0.2881379437328838
AGSCC_1,350,1.4162768823091816,0.2887327987429103
AGSCC_1,400,1.4441241212406284,0.29444580062556164
AGSCC_1,450,1.4683959213612219,0.29475736242422707
AGSCC_1,500,1.49266300422486,0.2928272940535456
AGSCC_1,600,1.5070553814973697,0.31095143830159777
AGSCC_1,700,1.5345766355873698,0.3139039109081593
AGSCC_1,800,1.5365606324835943,0.337697704264685
AGSCC_1,900,1.5523135183976586,0.32883998437035206
AGSCC_1,1000,1.5550889786879143,0.3394918540961522
AGSCC_2,10,5.331455090645834e-05,3.695207179726754e-05
AGSCC_2,20,0.010300599436616814,0.007039517344555349
AGSCC_2,30,0.07052512073188912,0.0438112448926597
AGSCC_2,50,0.29260265949766057,0.11573736453530435
AGSCC_2,60,0.3830324453706186,0.11997712694605059
AGSCC_2,70,0.4496515990092306,0.11726680049155096
AGSCC_2,80,0.4984540827849152,0.113866554656762
AGSCC_2,90,0.5356450635178125,0.11118993829720965
AGSCC_2,100,0.5644587110940341,0.1098618684752066
AGSCC_2,120,0.607262817627826,0.1085915050854733
AGSCC_2,140,0.639160656410289,0.1082930178563981
AGSCC_2,160,0.6626977044289772,0.10798158086363342
AGSCC_2,180,0.6833616009667405,0.10650826672246974
AGSCC_2,200,0.699216543283927,0.1064713583726426
AGSCC_2,220,0.7116919287528256,0.10637690159643809
AGSCC_2,240,0.7225733928006387,0.10527112146285753
AGSCC_2,260,0.7337471143874422,0.10293301407989756
AGSCC_2,280,0.7426947658525719,0.10347759824346346
AGSCC_2,300,0.7524619629547311,0.10206606977221484
AGSCC_2,350,0.7667726883351006,0.1003633358723702
AGSCC_2,400,0.7868619172104907,0.09819338051826955
AGSCC_2,450,0.8038560068956303,0.09461263205540087
AGSCC_2,500,0.8047507968285045,0.10036206441808385
AGSCC_2,600,0.8293311389139173,0.09146298728818035
AGSCC_2,700,0.8415941880263413,0.0934034705907582
AGSCC_2,800,0.860488545561956,0.08062552225477537
AGSCC_2,900,0.8669960804838124,0.0906566681891661
AGSCC_2,1000,0.8859407915039688,0.08802798795255619
FAAGSCC_12,10,9.167456840283975e-05,6.353569366994116e-05
FAAGSCC_12,20,0.01341889435822455,0.009157786352479035
FAAGSCC_12,30,0.07425234892849764,0.04678166764326568
FAAGSCC_12,50,0.2701559429342386,0.13249968557819503
FAAGSCC_12,60,0.35557192698908313,0.16001084915246128
FAAGSCC_12,70,0.4273956462505683,0.18231060251539088
FAAGSCC_12,80,0.4895728372313455,0.20163039431988664
FAAGSCC_12,90,0.545938025919372,0.217025284082721
FAAGSCC_12,100,0.5961205309023683,0.23089337961421977
FAAGSCC_12,120,0.6885447844751517,0.2503933767189964
FAAGSCC_12,140,0.7696308037293828,0.2607506878900917
FAAGSCC_12,160,0.8379489468220842,0.26582197165068755
FAAGSCC_12,180,0.8960358427815784,0.2668846478317723
FAAGSCC_12,200,0.9453434918619664,0.2664783245726737
FAAGSCC_12,220,0.9890751524742024,0.2658786512830448
FAAGSCC_12,240,1.0238555610618492,0.2661657877174397
FAAGSCC_12,260,1.0566886593478644,0.26163649100586844
FAAGSCC_12,280,1.0810402339053367,0.26252193422222286
FAAGSCC_12,300,1.1050949096875486,0.2608774511171092
FAAGSCC_12,350,1.15035074344101,0.25652402082990516
FAAGSCC_12,400,1.1853294572657684,0.2513161683997559
FAAGSCC_12,450,1.2093236409900714,0.25447315673123344
FAAGSCC_12,500,1.2341425410529476,0.2506998734018227
FAAGSCC_12,600,1.276902504880441,0.23434164442013253
FAAGSCC_12,700,1.2931872885188342,0.24141588795603575
FAAGSCC_12,800,1.3106763940827266,0.23902660748602633
FAAGSCC_12,900,1.3328315523411896,0.23244003685705764
FAAGSCC_12,1000,1.3415396923971399,0.24023618433400226
FAAGSCC_13,10,0.00019455978734829455,0.00013473064498310992
FAAGSCC_13,20,0.014026343982766391,0.009573217803947947
FAAGSCC_13,30,0.06873708133732431,0.04392350788080578
FAAGSCC_13,50,0.24469068226492488,0.12778747523520148
FAAGSCC_13,60,0.3299423101316512,0.1578966197346699
FAAGSCC_13,70,0.4049121221133048,0.18108198962597327
FAAGSCC_13,80,0.47133661373486196,0.20112742360251695
FAAGSCC_13,90,0.5299520965074397,0.21697706838524983
FAAGSCC_13,100,0.5848365634556353,0.23164969443327457
FAAGSCC_13,120,0.6763913644329309,0.25307317133243923
FAAGSCC_13,140,0.7560135978778184,0.2665248059453305
FAAGSCC_13,160,0.823646418242204,0.27540068195268025
FAAGSCC_13,180,0.8813258670984229,0.28041657499088146
